""number"",""logFC"",""AveExpr"",""t"",""P.Value"",""adj.P.Val"",""B""
6113,2.35754899703062,0.453857207027058,4.01602213476734,7.97477767838807e-05,0.0124870518847778,1.34526870752632
6114,2.34740636834095,0.281830279046876,4.13276729314394,4.99306427884091e-05,0.0102381594212805,1.762721635674
6115,2.59301178217089,0.196079953950391,4.29163260409973,2.59690854333311e-05,0.00695850179174967,2.34716049791228
6116,2.49439291368115,0.205975772142569,4.31183855397121,2.38647658029693e-05,0.00694396579399805,2.42283292073428
6117,1.98812226412272,0.127252421170549,3.65718280285816,0.00031493527687125,0.0210249814295752,0.127452210650898
6118,1.73858380419686,-0.0325956839692903,3.58094353450791,0.000416224673269412,0.0252209737957994,-0.118347670372295
6119,1.15677781253088,-0.305240170766723,2.68050778766767,0.00787336219936729,0.099123098968742,-2.66364523119528
6120,0.458954383853618,-0.542127869827677,1.14516258663275,0.253310678889872,0.541216684169181,-5.38338230036454
6121,-0.238490930851359,-0.600322519158807,-0.551624205512313,0.581731774946178,0.801451615075425,-5.8569281439403
6122,-0.518385926900946,-0.630681917402549,-1.14601497895616,0.252958535314821,0.540934775296734,-5.38246608855528
6123,-0.204715811133934,-0.482308525136851,-0.43239575431676,0.665851666704173,0.849276444558107,-5.91223410938131
6124,0.716756107665262,-0.352659500018671,1.46838137292343,0.143342437696685,0.40527415411814,-4.98783252394386
6125,0.918909792451743,-0.28301336789306,1.92977872323965,0.0548421366128106,0.256433546057622,-4.25762633439801
6126,0.519320014744697,-0.268645353959743,1.17185074354782,0.242447694781808,0.529133184860855,-5.3543764117121
6127,-0.14549569022504,-0.503489365249762,-0.371785196218912,0.710388934136568,0.872213177600522,-5.93521957597641
6128,-0.824366977142257,-0.869119078389859,-2.10814293572823,0.0360814503044485,0.209159903167836,-3.92391328769673
6129,-1.08752271501975,-1.02486350208076,-2.69204775213787,0.00761405942691068,0.0972882489385086,-2.63531352821495
6130,-0.961871500423254,-0.981584210169569,-2.28156036385564,0.0234136507684577,0.169301729989889,-3.57234877285507
6131,-0.385114940455794,-0.840914115269311,-0.874424635476969,0.382782831077707,0.660041426289551,-5.64021268220212
6132,0.530709200696062,-0.689531063575109,1.10389754681819,0.270770472675293,0.559817697506651,-5.42693084160633
6133,0.888843669320628,-0.526179255480014,1.77929319508312,0.0764885448668457,0.30276025764492,-4.51698765151959
6134,1.11949275809705,-0.457313259912958,2.30799501073812,0.0218718024454933,0.163082218753756,-3.51642832253762
6135,0.920676094172659,-0.402549788391833,1.88226596078997,0.0610397906934664,0.271526176369903,-4.3417170202252
6136,0.357767282643603,-0.470847920503273,0.770080308359857,0.442028308197685,0.705483472208174,-5.72094402433791
6137,-0.410943406228446,-0.70892952377907,-0.961605441337607,0.337239576123632,0.621383744702146,-5.56496141700876
6138,-0.981599311078182,-0.880063399544339,-2.33607761213815,0.0203319460917191,0.156338142626683,-3.45634960769748
6139,-1.10306394345813,-0.956303566469233,-2.53343492054173,0.0119488147287333,0.120381227543861,-3.01470315990987
6140,-1.14403906050035,-0.947049281648101,-2.5578112880215,0.0111644211214388,0.116609749677429,-2.95780634482603
6141,-0.682483281534618,-0.896464284302479,-1.52831712422628,0.127783247362919,0.384955018796213,-4.90392432397584
6142,-0.10583123287997,-0.80296152583923,-0.249591806654525,0.803121806441935,0.9174273772487,-5.97103553878119
